iter	RMSE
967	38.52305471
968	38.52279096
969	38.52252734
970	38.52224315
971	38.52193579
972	38.52152571
973	38.52126468
974	38.52093282
975	38.52070791
976	38.52046082
977	38.5202261
978	38.51997585
979	38.51967397
980	38.51941794
981	38.51917132
982	38.51891943
983	38.51860448
984	38.5183268
985	38.51802488
986	38.51775391
987	38.51751652
988	38.51729524
989	38.51718272
990	38.51690748
991	38.51656716
992	38.51632738
993	38.51604888
994	38.51587765
995	38.51552072
996	38.51520479
997	38.5149769
998	38.51471256
999	38.51443736
